longitude,latitude,max_temp,min_temp,degrees_from_mean
-112.3278,38.9664,18.3,6.7,11.6
-105.3603,42.7467,18.3,10,33.95
-105.1175,44.0992,14.4,2.8,13.58
-107.1097,37.7717,12.2,-10,11.84
-105.4072,45.4442,11.1,1.7,11.89
-109.7517,33.4783,20.6,-0.6,9.2
-115.4508,33.8089,29.4,13.9,9.1
-105.83,47.2875,7.8,0.6,13.48
-106.4278,36.2403,17.8,-2.2,9.52
-112.2975,40.5278,17.8,11.1,26.76
-114.9911,39.2764,13.3,3.3,14.79
-100.7247,37.9272,25.6,-1.1,16.59
-112.5711,42.9203,15,0,11.59
-111.7869,40.6242,18.3,3.9,11.22
-111.4078,40.7908,12.8,4.4,14.17
-118.5744,34.1819,32.2,7.8,11.3
-104.1467,47.7283,8.3,0.6,13.11
-111.1125,43.7306,8.3,3.3,15.53
-112.2872,42.1492,11.1,0.6,10.32
-118.9631,36.7394,17.8,6.1,20.62
-103.2892,47.8039,4.4,1.1,15.7
-104.3567,44.4122,10.6,0.6,10.7
-98.0833,44.0686,10.6,1.1,12.91
-109.3758,47.5589,13.3,2.2,12.61
-111.7794,39.9578,17.2,4.4,20.99
-115.8319,43.8383,8.9,1.1,10.18
-105.6747,41.3119,15,3.3,28.44
-117.8803,33.6025,20,14.4,4.81
-116.3783,43.2436,8.9,6.1,7.65
-115.9694,44.1011,6.1,2.8,8.99
-105.2783,39.2203,15.6,-0.6,11.4
-112.3531,43.1969,15,4.4,24.27
-111.9694,40.7781,17.2,5,19.7
-121.1431,48.7142,7.8,3.9,4.86
-111.1325,39.0875,18.3,-2.2,12.82
-114.8903,47.1928,7.2,2.2,7.3
-98.9214,41.0319,21.1,-0.6,16.27
-106.8383,44.8406,13.9,0.6,12.44
-102.3192,46.8886,6.1,1.1,13.12
-99.3803,40.4517,9.4,3.9,11.88
-107.3653,43.8111,13.9,-1.7,13.04
-111.3392,44.8667,5.6,-2.8,8.05
-114.2272,33.665,30,10.6,8.74
-112.7403,33.9792,30.6,5.6,10.29
-101.34,37.1639,26.7,3.9,25.34
-112.9539,38.7075,18.3,3.9,10.8
-109.8378,31.9356,25.6,-1.1,7.95
-120.0828,39.9717,19.4,2.8,10.73
-114.2419,47.6775,8.3,3.3,8.27
-110.9553,32.1314,30,10,9.78
-114.5192,42.7325,16.1,8.9,14.17
-109.8369,32.2553,26.7,-2.2,8.87
-106.3169,39.2292,10,-2.8,22.65
-121.9303,37.8792,22.8,6.7,9.28
-110.5889,43.8567,6.7,-0.6,15.67
-111.5367,32.9947,31.1,3.9,9.05
-105.8825,46.4267,7.8,1.1,11.49
-104.0567,38.3422,21.7,2.8,22.26
-112.2642,43.9664,11.7,-1.7,10.42
-116.5872,32.9897,21.1,1.1,9.66
-108.7339,39.1014,18.3,1.1,11.81
-111.42,37.905,13.9,1.7,7.58
-99.455,44.5222,10.6,2.2,14.31
-116.5628,48.2942,8.9,3.9,8.33
-101.2103,36.865,26.1,2.8,15
-104.9742,38.8417,11.7,1.1,14.53
-109.885,34.7994,21.1,-8.3,8.73
-103.9744,45.5489,9.4,0.6,11.93
-112.1919,42.6447,13.3,2.8,21.62
-117.1739,38.7839,20,-1.7,10.79
-107.1997,41.8056,12.8,5,26.77
-104.7956,37.6303,19.4,6.1,11.6
-111.0339,43.7728,5.6,0.6,11.8
-103.7714,44.3533,13.3,3.3,11.75
-112.6389,37.2722,21.1,-3.3,10.45
-104.4478,45.5022,9.4,2.2,14.92
-120.7533,44.8197,16.7,1.1,9.48
-116.0767,33.5714,33.3,1.1,9.14
-120.0936,39.3886,17.8,-3.9,10.35
-104.3378,37.2622,21.1,5.6,12.31
-115.6289,33.7044,30,8.3,9.24
-111.2822,40.6439,11.7,5,14.68
-112.3342,39.3758,18.3,2.8,10.93
-109.045,44.5147,12.2,7.2,15.16
-119.5097,37.2328,25.6,7.8,19.54
-103.0214,41.2294,21.7,1.7,26.48
-105.8667,40.185,8.9,-8.3,9.54
-107.8225,47.0219,13.9,2.2,11.94
-103.7008,41.9481,19.4,3.3,12.02
-109.4117,40.9317,14.4,-1.7,10.32
-116.0481,44.5228,9.4,1.7,19.91
-121.6547,40.8803,14.4,3.9,8.85
-110.9508,41.265,10.6,2.2,13.6
-104.8222,41.7594,15,5.6,13.42
-111.5842,40.6008,8.3,-0.6,11.78
-117.8389,41.5683,18.9,-2.2,10.51
-105.1314,40.6147,23.3,5.6,28
-100.1514,40.9394,22.2,0,16.44
-114.1708,34.2903,30,13.3,8.88
-108.7261,42.8153,15,1.7,11.88
-105.8614,37.4389,15.6,-11.1,11.22
-102.7217,40.1236,24.4,-2.2,17.06
-116.1047,44.8872,2.2,1.1,11.24
-120.1817,45.2325,16.7,-2.2,10.29
-102.4372,41.7608,21.1,-1.1,15.26
-101.3658,38.4794,25,-3.3,16.41
-110.4203,44.9167,7.8,-1.7,14.52
-122.9331,40.7222,12.8,6.7,8.08
-111.1508,33.6731,25.6,6.1,7.61
-116.4664,43.8544,16.7,6.7,19.16
-117.8667,33.7442,30,13.3,8.95
-109.4703,41.5167,17.8,-2.2,15.25
-105.7878,42.8267,13.3,7.8,15.15
-101.7,39.3669,25.6,3.9,29.48
-106.6086,38.8183,8.9,-16.7,9.05
-110.7208,35.0281,23.3,-2.2,11.01
-106.2314,45.8161,12.2,2.2,12.16
-114.7733,39.4136,17.8,3.3,22.45
-109.8014,48.4983,10,3.9,15.62
-119.6483,39.3128,18.9,6.7,22.43
-106.2772,43.4131,13.9,1.7,10.72
-99.8297,39.3756,26.1,-1.1,18.91
-110.6003,46.3619,8.9,1.7,12.19
-104.8061,41.1519,18.3,2.2,13.73
-111.7275,42.5872,11.1,3.3,23.43
-111.3208,41.825,12.2,3.9,26.39
-104.9492,42.1106,22.2,10.6,33.41
-115.1633,36.0719,27.2,10,10.27
-104.7183,47.1064,8.9,1.1,12.69
-111.2769,43.8564,7.2,2.8,16.58
-102.55,36.0167,26.1,-2.8,14.51
-114.1708,41.2783,17.2,-3.3,11.78
-116.7858,34.8536,28.3,8.3,9.76
-98.3836,40.6472,22.2,1.7,17.81
-101.8067,39.7675,26.7,1.7,27.36
-120.4719,39.8053,17.8,-1.7,10.48
-113.5003,42.6767,18.3,2.8,22.64
